bowler,season,runs_conceded,balls_bowled,matches,dot_balls,wickets
UT Yadav,2022,354,288,12,135,16
Umran Malik,2022,455,295,14,131,22
V Pratap Singh,2012,300,204,9,71,10
VR Aaron,2012,279,186,8,73,8
VR Aaron,2014,309,220,10,90,16
VR Aaron,2017,170,120,6,51,7
WD Parnell,2011,222,176,8,75,9
WD Parnell,2012,133,126,6,51,5
WD Parnell,2013,141,89,4,33,6
WD Parnell,2014,235,181,8,82,6
WPUJC Vaas,2009,218,180,8,87,13
Washington Sundar,2017,189,180,10,81,8
Washington Sundar,2020,300,300,15,112,8
Washington Sundar,2022,239,168,8,47,6
YA Abdulla,2009,311,209,11,88,15
YK Pathan,2009,502,414,22,143,12
YK Pathan,2011,244,234,14,93,13
YS Chahal,2014,389,330,14,115,12
YS Chahal,2015,416,281,14,90,23
YS Chahal,2016,409,295,13,100,21
YS Chahal,2017,351,261,13,92,14
YS Chahal,2018,374,300,14,120,12
YS Chahal,2019,394,296,14,113,18
YS Chahal,2020,414,343,15,112,21
YS Chahal,2021,381,318,15,123,18
YS Chahal,2022,536,408,17,128,27
Yash Dayal,2022,296,192,9,76,11
Yuvraj Singh,2009,297,258,19,93,11
Yuvraj Singh,2011,193,174,13,61,9
Yuvraj Singh,2013,152,132,10,39,6
Yuvraj Singh,2014,191,136,10,33,5
Z Khan,2009,532,416,20,156,21
Z Khan,2011,465,354,15,141,14
Z Khan,2012,468,360,15,146,17
Z Khan,2013,47,36,2,18,5
Z Khan,2014,156,134,6,56,5
Z Khan,2015,159,145,7,73,7
Z Khan,2016,341,262,12,111,10
Z Khan,2017,323,241,11,72,10
