batter,runs,balls_faced,innings,fours,sixes,dismissals,average,strike_rate,boundary_pct,bat_index,bowler,runs_conceded,balls_bowled,matches,dot_balls,wickets,economy,dot_pct,bowl_index,all_rounder_index
N Rana,2181,1620,85,190,111,78,27.96,134.63,18.58,68.75,N Rana,178,127,18,40,7,8.41,31.5,11.64,45.91
NLTC Perera,424,306,30,23,26,22,19.27,138.56,16.01,66.33,NLTC Perera,1031,698,36,227,31,8.86,32.52,16.53,46.41
P Negi,365,288,35,27,16,26,14.04,126.74,14.93,59.3,P Negi,954,716,42,237,34,7.99,33.1,17.74,42.68
PC Valthaty,505,414,23,61,20,22,22.95,121.98,19.57,61.89,PC Valthaty,207,151,10,44,7,8.23,29.14,11.03,41.55
PP Chawla,494,466,69,44,15,46,10.74,106.01,12.66,49.23,PP Chawla,3972,2993,149,1030,140,7.96,34.41,39.34,45.27
R Ashwin,647,549,72,51,21,48,13.48,117.85,13.11,55.15,R Ashwin,4596,3900,181,1377,157,7.07,35.31,43.46,50.47
R Bhatia,308,256,44,22,11,28,11.0,120.31,12.89,55.1,R Bhatia,1874,1504,82,388,65,7.48,25.8,22.0,41.86
R Parag,522,417,37,40,22,31,16.84,125.18,14.87,59.78,R Parag,280,157,19,31,4,10.7,19.75,6.72,38.56
R Tewatia,738,565,46,57,35,29,25.45,130.62,16.28,65.68,R Tewatia,1102,830,50,257,32,7.97,30.96,16.7,46.09
R Vinay Kumar,285,252,38,19,8,25,11.4,113.1,10.71,51.94,R Vinay Kumar,2858,1989,96,704,100,8.62,35.39,31.31,43.69
RA Jadeja,2367,1848,148,171,84,87,27.21,128.08,13.8,64.88,RA Jadeja,4093,3192,179,1031,132,7.69,32.3,37.25,53.83
RG Sharma,5477,4244,209,481,222,183,29.93,129.05,16.56,66.9,RG Sharma,436,315,31,82,14,8.3,26.03,11.46,44.72
RS Bopara,531,453,22,39,16,18,29.5,117.22,12.14,61.12,RS Bopara,301,206,14,61,11,8.77,29.61,11.7,41.35
S Dube,688,515,33,46,38,28,24.57,133.59,16.31,66.53,S Dube,176,106,13,22,4,9.96,20.75,7.04,42.73
SC Ganguly,1000,952,43,104,27,41,24.39,105.04,13.76,54.52,SC Ganguly,238,156,13,29,4,9.15,18.59,6.8,35.43
SK Raina,5115,3731,186,471,186,160,31.97,137.09,17.61,71.15,SK Raina,1109,888,67,276,24,7.49,31.08,15.38,48.84
SP Narine,1025,629,82,112,63,69,14.86,162.96,27.82,76.69,SP Narine,3907,3463,147,1363,152,6.77,39.36,43.82,63.54
SR Watson,3408,2494,126,330,171,116,29.38,136.65,20.09,70.43,SR Watson,2347,1704,90,645,75,8.26,37.85,27.22,53.15
STR Binny,880,682,66,66,35,46,19.13,129.03,14.81,62.23,STR Binny,763,594,63,199,22,7.71,33.5,15.6,43.58
Shakib Al Hasan,795,635,52,73,21,41,19.39,125.2,14.8,60.8,Shakib Al Hasan,1864,1484,70,504,63,7.54,33.96,24.02,46.09
TL Suman,676,573,39,55,26,32,21.12,117.98,14.14,58.47,TL Suman,198,150,11,43,6,7.92,28.67,10.84,39.42
TM Dilshan,1049,923,43,126,21,37,28.35,113.65,15.93,59.99,TM Dilshan,365,265,24,76,4,8.26,28.68,10.27,40.1
V Kohli,6469,4958,203,563,215,172,37.61,130.48,15.69,70.37,V Kohli,309,205,22,45,2,9.04,21.95,7.47,45.21
V Shankar,731,598,41,46,28,31,23.58,122.24,12.37,60.8,V Shankar,344,238,22,80,9,8.67,33.61,12.55,41.5
Washington Sundar,318,263,32,26,9,23,13.83,120.91,13.31,56.56,Washington Sundar,1116,918,49,318,33,7.29,34.64,18.35,41.28
Y Venugopal Rao,697,625,42,55,22,36,19.36,111.52,12.32,54.82,Y Venugopal Rao,201,132,13,37,4,9.14,28.03,9.64,36.75
YK Pathan,2787,1994,138,220,136,96,29.03,139.77,17.85,71.09,YK Pathan,1210,978,69,334,34,7.42,34.15,18.34,49.99
Yuvraj Singh,2455,1931,112,194,130,98,25.05,127.14,16.78,64.23,Yuvraj Singh,1006,815,67,246,33,7.41,30.18,16.95,45.32
