batter,season,runs,balls_faced,innings,fours,sixes,dismissals,average,strike_rate,boundary_pct,bat_index
R Ashwin,2021,44,42,5,2,1,3,14.67,104.76,7.14,49.2
R Ashwin,2022,191,134,12,14,9,7,27.29,142.54,17.16,71.36
R Bhatia,2009,32,35,8,2,2,8,4.0,91.43,11.43,40.46
R Bhatia,2011,25,22,6,3,0,3,8.33,113.64,13.64,51.52
R Bhatia,2012,35,28,6,4,0,3,11.67,125.0,14.29,57.53
R Bhatia,2013,99,80,10,8,3,6,16.5,123.75,13.75,58.85
R Bhatia,2014,67,53,7,4,3,5,13.4,126.42,13.21,58.57
R Bhatia,2016,34,20,5,1,2,1,34.0,170.0,15.0,84.6
R Dhawan,2014,82,75,6,8,1,2,41.0,109.33,12.0,62.53
R Dravid,2009,527,433,23,62,6,21,25.1,121.71,15.7,61.86
R Dravid,2011,343,312,12,45,2,11,31.18,109.94,15.06,59.46
R Dravid,2012,462,412,16,63,4,16,28.88,112.14,16.26,59.66
R Dravid,2013,471,424,17,64,5,16,29.44,111.08,16.27,59.46
R McLaren,2009,66,69,7,7,0,3,22.0,95.65,10.14,49.09
R Parag,2019,160,126,5,17,5,5,32.0,126.98,17.46,67.08
R Parag,2020,86,77,8,6,3,7,12.29,111.69,11.69,51.93
R Parag,2021,93,82,10,6,4,8,11.62,113.41,12.2,52.45
R Parag,2022,183,132,14,11,10,11,16.64,138.64,15.91,65.29
R Powell,2022,250,167,12,10,22,10,25.0,149.7,19.16,73.71
R Rampaul,2013,38,36,6,3,1,4,9.5,105.56,11.11,48.25
R Sathish,2009,112,96,10,11,0,7,16.0,116.67,11.46,55.36
R Sathish,2013,109,76,8,9,5,5,21.8,143.42,18.42,69.77
R Sharma,2011,24,21,5,1,2,3,8.0,114.29,14.29,51.77
R Sharma,2013,11,17,6,1,0,4,2.75,64.71,5.88,28.16
R Tewatia,2018,50,43,5,5,1,3,16.67,116.28,13.95,55.97
R Tewatia,2020,255,182,11,13,17,6,42.5,140.11,16.48,76.34
R Tewatia,2021,155,147,11,11,6,10,15.5,105.44,11.56,50.69
R Tewatia,2022,217,147,12,22,9,7,31.0,147.62,21.09,75.67
R Vinay Kumar,2009,74,76,12,5,1,9,8.22,97.37,7.89,43.81
R Vinay Kumar,2011,50,47,7,4,1,6,8.33,106.38,10.64,48.01
R Vinay Kumar,2012,68,62,7,3,2,5,13.6,109.68,8.06,50.92
R Vinay Kumar,2013,70,44,5,6,3,1,70.0,159.09,20.45,95.73
RA Jadeja,2009,295,265,13,21,6,11,26.82,111.32,10.19,57.29
RA Jadeja,2011,283,227,12,20,14,9,31.44,124.67,14.98,65.44
RA Jadeja,2012,191,151,14,13,9,12,15.92,126.49,14.57,59.88
RA Jadeja,2013,201,134,14,17,6,8,25.12,150.0,17.16,73.48
RA Jadeja,2014,146,109,10,9,5,5,29.2,133.94,12.84,67.82
RA Jadeja,2015,132,126,11,7,3,7,18.86,104.76,7.94,51.04
RA Jadeja,2016,191,175,15,14,4,9,21.22,109.14,10.29,54.2
RA Jadeja,2017,158,113,10,13,4,4,39.5,139.82,15.04,74.74
RA Jadeja,2018,89,74,8,3,4,5,17.8,120.27,9.46,57.12
RA Jadeja,2019,106,87,9,7,4,3,35.33,121.84,12.64,65.4
RA Jadeja,2020,232,134,11,22,11,5,46.4,173.13,24.63,92.74
RA Jadeja,2021,227,155,11,19,9,3,75.67,146.45,18.06,92.46
RA Jadeja,2022,116,98,10,6,5,6,19.33,118.37,11.22,57.32
RA Tripathi,2017,391,267,14,43,17,14,27.93,146.44,22.47,74.24
RA Tripathi,2018,226,166,12,18,8,9,25.11,136.14,15.66,67.63
RA Tripathi,2019,141,117,7,13,2,6,23.5,120.51,12.82,60.17
RA Tripathi,2020,230,181,11,21,10,10,23.0,127.07,17.13,63.45
RA Tripathi,2021,397,282,16,41,11,14,28.36,140.78,18.44,71.34
RA Tripathi,2022,413,260,14,40,20,12,34.42,158.85,23.08,81.92
RD Chahar,2022,77,68,8,7,4,6,12.83,113.24,16.18,53.66
RD Gaikwad,2020,204,169,6,16,6,4,51.0,120.71,13.02,71.29
RD Gaikwad,2021,635,462,16,64,23,14,45.36,137.45,18.83,76.89
RD Gaikwad,2022,368,289,14,33,14,14,26.29,127.34,16.26,64.7
RE Levi,2012,83,73,6,10,4,6,13.83,113.7,19.18,54.85
