batter,season,runs,balls_faced,innings,fours,sixes,dismissals,average,strike_rate,boundary_pct,bat_index
SS Iyer,2015,439,342,14,41,21,13,33.77,128.36,18.13,68.48
SS Iyer,2016,30,43,6,2,1,6,5.0,69.77,6.98,31.3
SS Iyer,2017,338,242,12,36,10,10,33.8,139.67,19.01,73.19
SS Iyer,2018,411,309,13,29,21,11,37.36,133.01,16.18,71.38
SS Iyer,2019,467,386,16,42,14,16,29.19,120.98,14.51,62.97
SS Iyer,2020,519,419,17,40,16,15,34.6,123.87,13.37,66.06
SS Iyer,2021,175,171,8,7,5,5,35.0,102.34,7.02,56.34
SS Iyer,2022,401,298,14,41,11,13,30.85,134.56,17.45,69.65
SS Prabhudessai,2022,67,58,5,7,2,5,13.4,115.52,15.52,54.67
SS Tiwary,2009,432,319,18,29,18,15,28.8,135.42,14.73,68.63
SS Tiwary,2011,187,186,13,13,5,8,23.38,100.54,9.68,51.5
SS Tiwary,2012,191,167,11,9,8,8,23.88,114.37,10.18,57.34
SS Tiwary,2013,109,106,6,4,4,4,27.25,102.83,7.55,53.54
SS Tiwary,2015,109,78,6,9,5,0,,139.74,17.95,
SS Tiwary,2016,170,139,7,17,4,7,24.29,122.3,15.11,61.66
SS Tiwary,2020,103,80,5,8,3,5,20.6,128.75,13.75,62.49
ST Jayasuriya,2009,254,221,16,27,8,16,15.88,114.93,15.84,55.49
STR Binny,2012,90,67,6,9,3,4,22.5,134.33,17.91,66.31
STR Binny,2013,293,199,16,25,12,9,32.56,147.24,18.59,75.64
STR Binny,2014,123,121,11,4,5,10,12.3,101.65,7.44,47.07
STR Binny,2015,74,65,8,7,1,4,18.5,113.85,12.31,55.4
STR Binny,2016,63,39,5,5,4,4,15.75,161.54,23.08,75.53
STR Binny,2017,78,76,7,6,3,5,15.6,102.63,11.84,49.66
STR Binny,2018,44,39,5,2,2,5,8.8,112.82,10.26,50.7
STR Binny,2019,70,40,5,5,4,3,23.33,175.0,22.5,83.83
SV Samson,2013,206,178,10,19,5,8,25.75,115.73,13.48,59.29
SV Samson,2014,339,273,13,25,17,13,26.08,124.18,15.38,63.18
SV Samson,2015,204,162,11,16,8,10,20.4,125.93,14.81,61.49
SV Samson,2016,291,258,14,20,8,11,26.45,112.79,10.85,57.87
SV Samson,2017,386,273,14,32,19,14,27.57,141.39,18.68,71.32
SV Samson,2018,441,319,15,30,19,14,31.5,138.24,15.36,70.97
SV Samson,2019,342,229,11,28,13,10,34.2,149.34,17.9,77.0
SV Samson,2020,375,234,14,21,26,13,28.85,160.26,20.09,79.66
SV Samson,2021,484,351,14,45,17,12,40.33,137.89,17.66,74.82
SV Samson,2022,458,311,17,43,26,16,28.62,147.27,22.19,74.79
SW Billings,2017,138,103,6,19,1,6,23.0,133.98,19.42,66.68
SW Billings,2018,108,78,8,8,5,8,13.5,138.46,16.67,64.12
SW Billings,2022,169,137,8,9,10,7,24.14,123.36,13.87,61.77
Sachin Baby,2016,119,77,6,9,5,4,29.75,154.55,18.18,77.36
Sandeep Sharma,2020,12,15,5,1,0,2,6.0,80.0,6.67,35.73
Shahbaz Ahmed,2021,59,53,7,4,2,7,8.43,111.32,11.32,50.16
Shahbaz Ahmed,2022,219,179,11,14,9,8,27.38,122.35,12.85,62.46
Shakib Al Hasan,2012,91,73,7,6,3,6,15.17,124.66,12.33,58.4
Shakib Al Hasan,2014,229,153,11,22,7,8,28.62,149.67,18.95,75.11
Shakib Al Hasan,2016,114,106,7,7,5,5,22.8,107.55,11.32,54.4
Shakib Al Hasan,2018,239,195,13,26,5,11,21.73,122.56,15.9,60.9
Shakib Al Hasan,2021,47,48,6,3,1,5,9.4,97.92,8.33,44.59
Shashank Singh,2022,69,47,5,5,4,4,17.25,146.81,19.15,69.45
Shubman Gill,2018,203,139,10,22,5,6,33.83,146.04,19.42,75.83
Shubman Gill,2019,296,237,13,21,10,9,32.89,124.89,13.08,65.73
Shubman Gill,2020,440,372,14,44,9,13,33.85,118.28,14.25,63.7
Shubman Gill,2021,478,401,17,50,12,17,28.12,119.2,15.46,62.02
Shubman Gill,2022,483,362,16,51,11,14,34.5,133.43,17.13,70.6
Sunny Singh,2011,43,31,5,6,1,4,10.75,138.71,22.58,64.3
TA Boult,2022,40,29,7,2,1,2,20.0,137.93,10.34,65.24
TG Southee,2022,2,12,5,0,0,4,0.5,16.67,0.0,6.87
TH David,2022,186,86,8,12,16,5,37.2,216.28,32.56,107.9
TL Suman,2009,544,445,26,41,20,19,28.63,122.25,13.71,63.09
TL Suman,2011,65,51,6,5,5,6,10.83,127.45,19.61,59.23
TL Suman,2013,52,58,5,8,0,5,10.4,89.66,13.79,42.78
TM Dilshan,2009,462,392,19,48,13,16,28.88,117.86,15.56,61.81
TM Dilshan,2011,226,180,10,33,3,8,28.25,125.56,20.0,65.52
TM Dilshan,2012,285,259,9,33,5,8,35.62,110.04,14.67,61.2
TM Dilshan,2013,76,92,5,12,0,5,15.2,82.61,13.04,41.73
TM Head,2017,151,108,7,9,6,5,30.2,139.81,13.89,70.78
TR Birt,2011,75,57,5,9,2,5,15.0,131.58,19.3,62.49
Tilak Varma,2022,397,302,14,29,16,11,36.09,131.46,14.9,70.0
UBT Chand,2013,158,157,9,17,4,9,17.56,100.64,13.38,49.96
UBT Chand,2015,102,83,5,13,2,5,20.4,122.89,18.07,60.93
UT Khawaja,2016,127,99,6,14,3,6,21.17,128.28,17.17,63.21
UT Yadav,2013,38,38,7,3,1,1,38.0,100.0,10.53,57.31
UT Yadav,2018,3,11,5,0,0,4,0.75,27.27,0.0,11.21
UT Yadav,2019,25,25,5,3,1,2,12.5,100.0,16.0,48.2
UT Yadav,2022,55,40,7,4,4,4,13.75,137.5,20.0,64.5
V Kohli,2009,553,430,26,48,20,22,25.14,128.6,15.81,64.66
V Kohli,2011,557,459,16,55,16,12,46.42,121.35,15.47,70.2
V Kohli,2012,364,325,15,33,10,13,28.0,112.0,13.23,58.65
V Kohli,2013,639,454,16,65,22,14,45.64,140.75,19.16,78.39
V Kohli,2014,359,294,14,23,16,13,27.62,122.11,13.27,62.55
V Kohli,2015,505,386,16,35,23,11,45.91,130.83,15.03,73.7
V Kohli,2016,973,637,16,84,38,12,81.08,152.75,19.15,97.36
V Kohli,2017,308,252,10,23,11,10,30.8,122.22,13.49,63.91
V Kohli,2018,530,379,14,52,18,11,48.18,139.84,18.47,78.9
V Kohli,2019,464,327,14,46,13,14,33.14,141.9,18.04,73.62
V Kohli,2020,471,384,15,24,11,11,42.82,122.66,9.11,68.01
V Kohli,2021,405,337,15,43,9,14,28.93,120.18,15.43,62.73
V Kohli,2022,341,294,16,32,8,15,22.73,115.99,13.61,58.21
V Sehwag,2009,554,351,25,71,21,24,23.08,157.83,26.21,77.61
V Sehwag,2011,424,239,11,51,18,11,38.55,177.41,28.87,92.16
V Sehwag,2012,495,307,16,57,19,15,33.0,161.24,24.76,82.65
V Sehwag,2013,295,229,13,41,6,12,24.58,128.82,20.52,65.46
V Sehwag,2014,455,314,17,56,18,17,26.76,144.9,23.57,73.38
V Sehwag,2015,99,84,8,12,3,8,12.38,117.86,17.86,55.67
V Shankar,2018,212,147,9,11,11,4,53.0,144.22,14.97,81.88
V Shankar,2019,244,193,14,11,12,12,20.33,126.42,11.92,61.08
V Shankar,2020,97,96,5,10,1,4,24.25,101.04,11.46,52.41
V Shankar,2021,58,52,5,1,3,5,11.6,111.54,7.69,50.79
VR Iyer,2021,370,288,10,37,14,9,41.11,128.47,17.71,71.37
VR Iyer,2022,182,169,12,17,7,11,16.55,107.69,14.2,52.54
VVS Laxman,2009,83,93,11,8,2,11,7.55,89.25,10.75,40.87
WA Mota,2009,30,48,6,0,0,5,6.0,62.5,0.0,27.4
WD Parnell,2011,37,39,5,2,1,3,12.33,94.87,7.69,44.42
WD Parnell,2012,19,27,5,2,0,4,4.75,70.37,7.41,31.53
WP Saha,2009,139,94,13,12,5,6,23.17,147.87,18.09,72.03
WP Saha,2014,362,249,13,33,18,11,32.91,145.38,20.48,75.41
WP Saha,2015,249,197,13,16,10,13,19.15,126.4,13.2,60.86
WP Saha,2016,270,212,12,29,1,11,24.55,127.36,14.15,63.59
WP Saha,2017,234,186,11,20,8,10,23.4,125.81,15.05,62.69
WP Saha,2018,122,102,10,17,1,8,15.25,119.61,17.65,57.47
WP Saha,2019,86,53,5,13,1,5,17.2,162.26,26.42,77.07
WP Saha,2021,131,139,9,7,5,9,14.56,94.24,8.63,45.25
WP Saha,2022,317,259,11,40,7,10,31.7,122.39,18.15,65.27
WPUJC Vaas,2009,60,55,7,2,2,5,12.0,109.09,7.27,49.89
Washington Sundar,2017,9,12,5,0,0,1,9.0,75.0,0.0,33.6
Washington Sundar,2018,65,38,5,5,4,3,21.67,171.05,23.68,81.82
Washington Sundar,2020,111,95,9,10,2,6,18.5,116.84,12.63,56.66
Washington Sundar,2022,101,69,7,9,3,7,14.43,146.38,17.39,67.8
Y Nagar,2011,111,100,10,6,6,7,15.86,111.0,12.0,53.14
Y Nagar,2012,153,133,8,13,3,5,30.6,115.04,12.03,60.66
Y Venugopal Rao,2009,158,157,16,9,4,15,10.53,100.64,8.28,46.12
Y Venugopal Rao,2011,336,279,14,30,13,12,28.0,120.43,15.41,62.45
Y Venugopal Rao,2012,132,126,7,8,5,6,22.0,104.76,10.32,52.77
Y Venugopal Rao,2014,71,63,5,8,0,3,23.67,112.7,12.7,57.09
YBK Jaiswal,2021,249,168,10,32,10,10,24.9,148.21,25.0,74.24
YBK Jaiswal,2022,258,191,10,28,10,10,25.8,135.08,19.9,68.33
YK Pathan,2009,594,387,27,47,38,24,24.75,153.49,21.96,75.69
YK Pathan,2011,283,200,11,24,13,10,28.3,141.5,18.5,71.62
YK Pathan,2012,194,166,16,10,7,10,19.4,116.87,10.24,56.56
YK Pathan,2013,332,239,16,30,15,11,30.18,138.91,18.83,71.4
YK Pathan,2014,268,165,12,15,20,9,29.78,162.42,21.21,81.12
YK Pathan,2015,312,229,12,29,12,7,44.57,136.24,17.9,75.9
YK Pathan,2016,361,248,13,33,13,5,72.2,145.56,18.55,90.81
YK Pathan,2017,143,115,11,9,6,8,17.88,124.35,13.04,59.5
YK Pathan,2018,260,200,13,22,11,9,28.89,130.0,16.5,66.86
YK Pathan,2019,40,45,7,1,1,3,13.33,88.89,4.44,41.78
YS Chahal,2017,13,26,6,0,0,3,4.33,50.0,0.0,21.73
YV Takawale,2014,104,91,5,17,1,5,20.8,114.29,19.78,57.99
Yuvraj Singh,2009,599,494,28,46,30,24,24.96,121.26,15.38,61.56
Yuvraj Singh,2011,343,261,13,24,18,10,34.3,131.42,16.09,69.51
Yuvraj Singh,2013,238,190,13,14,15,12,19.83,125.26,15.26,61.09
Yuvraj Singh,2014,376,274,14,22,28,11,34.18,137.23,18.25,72.21
Yuvraj Singh,2015,248,209,13,23,10,13,19.08,118.66,15.79,58.25
Yuvraj Singh,2016,236,179,10,22,13,9,26.22,131.84,19.55,67.13
Yuvraj Singh,2017,252,176,11,30,8,9,28.0,143.18,21.59,72.79
Yuvraj Singh,2018,65,73,6,6,2,6,10.83,89.04,10.96,42.14
Z Khan,2009,32,24,6,3,1,2,16.0,133.33,16.67,63.07
